Title,Price,Bedrooms,Bathrooms,Longitude,Latitude
"Istanbul, Küçükyali",1128,1,1,29.1177611,40.9474974
"Istanbul, Ümraniye",1063,1,1,29.09044510000001,41.0325548
"Istanbul, Bebek",1671,1,1,29.042296999999962,41.078065
"Istanbul, Emirgan",1888,3,1,29.051405799999998,41.1023971
"Istanbul, Fenerbahçe",2672,3,2,29.0543594,40.9721488
"Istanbul, Göztepe",2284,3,1,29.0659706,40.9713413
"Athens, Glyfada",1750,3,1,23.7616791,37.87417860000001
"Athens, Palaio Faliro",1620,2,2,23.6876592,37.929384
"Berlin, Mitte",1990,1,1,13.39027,52.50601
"Athens, Glyfada",1580,2,2,23.7603758,37.8772864
"Athens, Acropolis",1300,2,1,23.7271827,37.967006
"Athens, Marousi",1590,3,1,23.81626849999998,38.04598149999999
"Athens, Psychiko",1580,2,1,23.771875300000033,38.0008595
"Basel, Vorstädte",3235,2,1,7.582607799999999,47.5652435
"Barcelona, La Dreta de l'Eixample",2880,2,2,2.1689137,41.392154
"Berlin, Charlottenburg",2190,1,1,13.30854,52.49972
"Istanbul, Levazim",1996,3,2,29.0204881,41.0582777
"Lisbon, Santo António",2380,1,1,-9.1460109,38.7282355
"London, Canary Wharf",4273,1,1,-0.0192002,51.4995533
"Lisbon, Principe Real",1810,1,1,-9.146772,38.7171755
"Lisbon, Parque das Naçoes",2170,1,1,-9.097876299999998,38.7746579
"London, Canary Wharf",3170,1,1,-0.0191684,51.501474
"London, Whitechapel/Brick Lane",5341,2,2,-0.0690358,51.51397249999999
"London, Canary Wharf",3727,1,1,-0.0185601,51.5010795
"Lisbon, Parque das Naçoes",1820,1,1,-9.098258099999997,38.7564395
"Istanbul, Nisbetiye",2235,4,2,29.03075896679536,41.076095124956126
"Istanbul, Nisbetiye",2799,3,2,29.0211828,41.0764518
"Istanbul, Nisbetiye",1172,2,1,29.0215045,41.0721611
"Istanbul, Nisbetiye",1692,2,1,29.02116000000001,41.07412799999999
"Istanbul, Nisbetiye",2951,4,3,29.01987310000004,41.06987780000001
"Istanbul, Nisbetiye",1758,2,1,29.0192338,41.0725862
"Istanbul, Nisbetiye",2626,2,1,29.021613500000058,41.07236520000001
"Istanbul, Nisbetiye",2474,3,2,29.01987310000004,41.06987780000001
"Istanbul, Nisbetiye",1736,2,2,29.02160200000003,41.0760361
"Istanbul, Nisbetiye",2539,2,2,29.021631,41.075843
"Athens, Melissia",1130,2,1,23.8371201,38.04882349999999
"Athens, Vasilissis Sofias Avenue",1570,3,1,23.760988399999974,37.9839578
"Athens, Elliniko",970,1,1,23.730852099999993,37.8822626
"Athens, Filothei",1440,2,1,23.77927890000001,38.02544049999999
"Athens, Glyfada",2100,3,1,23.7600057,37.8540639
"Athens, Glyfada",1250,2,1,23.762602,37.8764265
"Athens, Palaio Faliro",1870,3,2,23.7005952,37.9280057
"Athens, Glyfada",1110,1,1,23.746744,37.881917
"Paris, Quartier Latin",2690,1,1,2.346665299999999,48.8525135
"Paris, Jardin des Plantes",4700,2,2,2.3615951,48.8402924
"Athens, Historic Center",1300,2,1,23.7294574,37.978736
"Athens, Historic Center",1010,1,1,23.7425272,37.9878434
"Lagos, Meia-Praia",1100,2,1,,
"Tavira,",950,2,2,,
Lagoa House for rent,3900,3,3,,
Lagos Apartment for rent,840,2,2,,
"Albufeira,",780,1,1,,
"Vilamoura,",1200,2,2,,
Silves House for rent,1680,3,2,,
"Portimao, Alvor Portimão",995,2,1,,
"Silves,",1200,2,1,,
"Lagos, Praia Da Luz",1200,1,1,,
"Lagos, Praia Da Luz",1400,2,1,,
"Lagoa, Ferragudo",805,2,1,,
"Lagos, Praia Da Luz",1200,1,1,,
"Vilamoura,  Loulé",1050,1,1,,
"Vilamoura,",1800,2,2,,
"Tavira,",1200,2,2,,
"Vila do Bispo, Burgau",1440,3,2,,
"Albufeira,",1200,2,2,,
"Lagoa, Carvoeiro",4000,5,5,,
Portimao Condo for rent,990,1,1,,
"Portimao, Monte Canelas Portimão",1980,4,2,,
"Lagos, Praia Da Luz",1900,2,2,,
Lagos Condo for rent,2500,2,2,,
"Portimao, Rua Serpa Pinto Alvor",900,1,1,,
Lagos Condo for rent,1800,1,1,,
Albufeira Condo for rent,1400,1,1,,
"Portimao, Praia Da Rocha Portimão",1080,0,1,,
"Vilamoura,  Loulé",2600,4,4,,
"Lagoa, Carvoeiro",805,2,1,,
"Lagos,",1040,2,2,,
Lesbos House for rent,1300,3,2,,
Athens Apartment for rent,520,1,1,,
Ta-Xbiex Apartment for rent,4000,3,3,14.49589000,35.89963000
Sliema Office-Space for rent,3165,0,1,14.50650000,35.90942000
Sliema Apartment for rent,4000,3,2,14.49931000,35.91762000
Portimao House for rent,2160,2,3,,
"Bacvice, , Split",1000,0,1,,
Engomi Apartment for rent,1000,1,1,,
Paralimni House for rent,3500,6,4,,
Knin Apartment for rent,500,2,1,,
Rruga-E-Elbasanit Apartment for rent,450,1,1,19.82648739832181,41.32113052479826
"Veliko Tarnovo, ulitsa 6- house 10",3000,3,4,25.643625805158898,43.35044386901497
Athens Apartment for rent,250,1,1,,
Athens Apartment for rent,1200,1,1,,
Nueva Andalucia House for rent,3700,4,4,,
St Julians Apartment for rent,4500,3,2,14.49297000,35.92205000
Bahar-Ic-Caghaq Apartment for rent,2000,3,2,14.45485000,35.93818000
"Krakow, Kraków, Sródmiescie, Rakowice, Rakowi",581,1,1,,
"Athens,  North/Agia Paraskevi",400,1,1,23.8304833565918,38.0046057380563
"Athens,  South/Palaio Faliro",750,2,1,23.7178360579804,37.9262931643364
Albufeira House for rent,840,1,1,,
